Contact Session ID,EP Name,Flow Name,Activity Name,Activity Start Timestamp,Queue Name,Agent Name,Termination Reason
c5c90971-aa3c-476e-b13f-3d7421db388f,Main Number Telephony EP,,,2025-03-19 11:16:15,,,
c5c90971-aa3c-476e-b13f-3d7421db388f,,LACMain,,2025-03-19 11:16:15,,,
c5c90971-aa3c-476e-b13f-3d7421db388f,Main Number Telephony EP,,LanguageSelectionMenu,2025-03-19 11:16:15,,,
c5c90971-aa3c-476e-b13f-3d7421db388f,Main Number Telephony EP,LACMain,,2025-03-19 11:16:15,,,
c5c90971-aa3c-476e-b13f-3d7421db388f,Main Number Telephony EP,,MainMenu,2025-03-19 11:16:25,,,
c5c90971-aa3c-476e-b13f-3d7421db388f,Main Number Telephony EP,,ComplimentOrComplaintMenu,2025-03-19 11:17:15,,,
c5c90971-aa3c-476e-b13f-3d7421db388f,Main Number Telephony EP,,FrontDeskTransfer2,2025-03-19 11:17:31,,,
c5c90971-aa3c-476e-b13f-3d7421db388f,,,,2025-03-19 11:17:31,Front Desk Transfer,,
c5c90971-aa3c-476e-b13f-3d7421db388f,Main Number Telephony EP,,,2025-03-19 11:17:31,,,
c5c90971-aa3c-476e-b13f-3d7421db388f,Main Number Telephony EP,,,2025-03-19 11:17:31,Front Desk Transfer,CBT Agent,
c5c90971-aa3c-476e-b13f-3d7421db388f,Main Number Telephony EP,,,2025-03-19 11:17:34,Front Desk Transfer,CBT Agent,
c5c90971-aa3c-476e-b13f-3d7421db388f,Main Number Telephony EP,,,2025-03-19 11:18:24,Front Desk Transfer,CBT Agent,Customer Left
00b976b5-8d07-4e0e-9fe8-dfb1ef8c0a68,Main Number Telephony EP,,,2025-03-19 11:30:22,,,
00b976b5-8d07-4e0e-9fe8-dfb1ef8c0a68,,LACMain,,2025-03-19 11:30:22,,,
00b976b5-8d07-4e0e-9fe8-dfb1ef8c0a68,Main Number Telephony EP,,LanguageSelectionMenu,2025-03-19 11:30:22,,,
00b976b5-8d07-4e0e-9fe8-dfb1ef8c0a68,Main Number Telephony EP,LACMain,,2025-03-19 11:30:22,,,
00b976b5-8d07-4e0e-9fe8-dfb1ef8c0a68,Main Number Telephony EP,,MainMenu,2025-03-19 11:30:29,,,
00b976b5-8d07-4e0e-9fe8-dfb1ef8c0a68,Main Number Telephony EP,,ComplimentOrComplaintMenu,2025-03-19 11:31:22,,,
00b976b5-8d07-4e0e-9fe8-dfb1ef8c0a68,Main Number Telephony EP,,FrontDeskTransfer2,2025-03-19 11:31:45,,,
00b976b5-8d07-4e0e-9fe8-dfb1ef8c0a68,,,,2025-03-19 11:31:45,Front Desk Transfer,,
00b976b5-8d07-4e0e-9fe8-dfb1ef8c0a68,Main Number Telephony EP,,,2025-03-19 11:31:45,,,
00b976b5-8d07-4e0e-9fe8-dfb1ef8c0a68,Main Number Telephony EP,,,2025-03-19 11:31:46,Front Desk Transfer,CBT Agent,
00b976b5-8d07-4e0e-9fe8-dfb1ef8c0a68,Main Number Telephony EP,,,2025-03-19 11:31:48,Front Desk Transfer,CBT Agent,
00b976b5-8d07-4e0e-9fe8-dfb1ef8c0a68,Main Number Telephony EP,,,2025-03-19 11:34:36,Front Desk Transfer,CBT Agent,Customer Left
70572a11-4fed-481d-b98d-23e54cf4e8b6,Main Number Telephony EP,,,2025-03-19 14:52:22,,,
70572a11-4fed-481d-b98d-23e54cf4e8b6,,LACMain,,2025-03-19 14:52:22,,,
70572a11-4fed-481d-b98d-23e54cf4e8b6,Main Number Telephony EP,,LanguageSelectionMenu,2025-03-19 14:52:22,,,
70572a11-4fed-481d-b98d-23e54cf4e8b6,Main Number Telephony EP,LACMain,,2025-03-19 14:52:22,,,
70572a11-4fed-481d-b98d-23e54cf4e8b6,Main Number Telephony EP,,LanguageSelectionMenu,2025-03-19 14:52:41,,,
70572a11-4fed-481d-b98d-23e54cf4e8b6,Main Number Telephony EP,,MainMenu,2025-03-19 14:52:51,,,
70572a11-4fed-481d-b98d-23e54cf4e8b6,Main Number Telephony EP,,ComplimentOrComplaintMenu,2025-03-19 14:53:36,,,
70572a11-4fed-481d-b98d-23e54cf4e8b6,Main Number Telephony EP,,FrontDeskTransfer2,2025-03-19 14:53:54,,,
70572a11-4fed-481d-b98d-23e54cf4e8b6,,,,2025-03-19 14:53:54,Front Desk Transfer,,
70572a11-4fed-481d-b98d-23e54cf4e8b6,Main Number Telephony EP,,,2025-03-19 14:53:54,,,
70572a11-4fed-481d-b98d-23e54cf4e8b6,Main Number Telephony EP,,,2025-03-19 14:53:54,Front Desk Transfer,CBT Agent,
70572a11-4fed-481d-b98d-23e54cf4e8b6,Main Number Telephony EP,,,2025-03-19 14:54:13,Front Desk Transfer,CBT Agent,
70572a11-4fed-481d-b98d-23e54cf4e8b6,Main Number Telephony EP,,,2025-03-19 15:03:07,Front Desk Transfer,CBT Agent,Customer Left
5ba63c6c-8ba9-4be8-b3da-05ca0f311e83,Main Number Telephony EP,,,2025-03-21 11:12:18,,,
5ba63c6c-8ba9-4be8-b3da-05ca0f311e83,,LACMain,,2025-03-21 11:12:18,,,
5ba63c6c-8ba9-4be8-b3da-05ca0f311e83,Main Number Telephony EP,,LanguageSelectionMenu,2025-03-21 11:12:18,,,
5ba63c6c-8ba9-4be8-b3da-05ca0f311e83,Main Number Telephony EP,LACMain,,2025-03-21 11:12:18,,,
5ba63c6c-8ba9-4be8-b3da-05ca0f311e83,Main Number Telephony EP,,LanguageSelectionMenu,2025-03-21 11:12:36,,,
5ba63c6c-8ba9-4be8-b3da-05ca0f311e83,Main Number Telephony EP,,MainMenu,2025-03-21 11:12:48,,,
5ba63c6c-8ba9-4be8-b3da-05ca0f311e83,Main Number Telephony EP,,ComplimentOrComplaintMenu,2025-03-21 11:13:48,,,
5ba63c6c-8ba9-4be8-b3da-05ca0f311e83,Main Number Telephony EP,,FrontDeskTransfer2,2025-03-21 11:14:05,,,
5ba63c6c-8ba9-4be8-b3da-05ca0f311e83,,,,2025-03-21 11:14:05,Front Desk Transfer,,
5ba63c6c-8ba9-4be8-b3da-05ca0f311e83,Main Number Telephony EP,,,2025-03-21 11:14:05,,,
5ba63c6c-8ba9-4be8-b3da-05ca0f311e83,Main Number Telephony EP,,,2025-03-21 11:14:05,Front Desk Transfer,CBT Agent,
5ba63c6c-8ba9-4be8-b3da-05ca0f311e83,Main Number Telephony EP,,,2025-03-21 11:14:16,Front Desk Transfer,CBT Agent,
5ba63c6c-8ba9-4be8-b3da-05ca0f311e83,Main Number Telephony EP,,,2025-03-21 11:23:28,Front Desk Transfer,CBT Agent,Customer Left
82f644ee-31c5-42f0-a39b-b0230ef1213f,Main Number Telephony EP,,,2025-03-21 11:42:46,,,
82f644ee-31c5-42f0-a39b-b0230ef1213f,,LACMain,,2025-03-21 11:42:47,,,
82f644ee-31c5-42f0-a39b-b0230ef1213f,Main Number Telephony EP,,LanguageSelectionMenu,2025-03-21 11:42:47,,,
82f644ee-31c5-42f0-a39b-b0230ef1213f,Main Number Telephony EP,LACMain,,2025-03-21 11:42:47,,,
82f644ee-31c5-42f0-a39b-b0230ef1213f,Main Number Telephony EP,,MainMenu,2025-03-21 11:42:56,,,
82f644ee-31c5-42f0-a39b-b0230ef1213f,Main Number Telephony EP,,ComplimentOrComplaintMenu,2025-03-21 11:43:48,,,
82f644ee-31c5-42f0-a39b-b0230ef1213f,Main Number Telephony EP,,FrontDeskTransfer2,2025-03-21 11:44:11,,,
82f644ee-31c5-42f0-a39b-b0230ef1213f,,,,2025-03-21 11:44:11,Front Desk Transfer,,
82f644ee-31c5-42f0-a39b-b0230ef1213f,Main Number Telephony EP,,,2025-03-21 11:44:11,,,
82f644ee-31c5-42f0-a39b-b0230ef1213f,Main Number Telephony EP,,,2025-03-21 11:44:11,Front Desk Transfer,CBT Agent,
82f644ee-31c5-42f0-a39b-b0230ef1213f,Main Number Telephony EP,,,2025-03-21 11:44:16,Front Desk Transfer,CBT Agent,
82f644ee-31c5-42f0-a39b-b0230ef1213f,Main Number Telephony EP,,,2025-03-21 11:47:52,Front Desk Transfer,CBT Agent,Customer Left
